Devices
1000
,,Imported Bertec Force Plate #1 - Force,,,Imported Bertec Force Plate #1 - Moment,,,Imported Bertec Force Plate #1 - CoP,,,Imported Bertec Force Plate #2 - Force,,,Imported Bertec Force Plate #2 - Moment,,,Imported Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-24.859,-2.96722,-274.115,41825.5,5016.36,-1152.56,168.3,46.4162,0,43.446,4.43451,-403.613,57768.9,-2221.07,4271.85,-155.503,56.8705,0
1,1,-24.2487,-2.66205,-271.063,42191.7,5382.57,-1335.66,169.857,43.3474,0,44.6667,3.51899,-404.833,59233.7,-2343.14,4180.3,-155.788,53.6838,0
1,2,-24.859,-2.96722,-274.115,42557.9,4894.29,-1518.77,167.855,43.7443,0,44.3616,4.73969,-404.223,59233.7,-2099,4363.4,-155.193,53.4628,0
1,3,-23.9435,-4.79828,-271.674,41459.3,4772.22,-1335.66,167.566,46.393,0,43.7512,4.73969,-403.002,59233.7,-2709.35,4271.85,-156.723,53.0189,0
1,4,-24.5538,0.389712,-275.336,41642.4,5138.43,-1427.22,168.662,47.7578,0,43.446,4.12934,-405.444,58318.2,-2343.14,4180.3,-155.779,56.1621,0
1,5,-23.028,-2.35687,-271.674,42374.8,4528.08,-1427.22,166.667,43.0231,0,44.6667,3.82416,-404.223,58867.5,-2343.14,4271.85,-155.797,54.3688,0
1,6,-23.9435,-2.35687,-277.167,42191.7,4894.29,-1518.77,167.658,46.775,0,43.7512,4.73969,-404.223,59599.9,-2465.21,3814.09,-156.099,52.5568,0
1,7,-23.3331,-3.88275,-274.115,42008.6,5382.57,-1335.66,169.636,45.7482,0,43.7512,5.65522,-403.002,58684.4,-2831.42,4271.85,-157.026,54.382,0
1,8,-24.2487,-1.44134,-269.232,41642.4,5016.36,-1335.66,168.632,44.3291,0,43.1409,3.82416,-407.885,58684.4,-2343.14,4271.85,-155.745,56.1252,0
1,9,-24.2487,-0.830991,-266.18,42008.6,4772.22,-1427.22,167.928,41.18,0,44.0564,4.73969,-405.444,59233.7,-2221.07,4271.85,-155.478,53.904,0
2,0,-24.2487,-2.66205,-269.843,42191.7,5260.5,-1610.32,169.495,42.6432,0,42.8357,5.35004,-404.223,59233.7,-2099,3997.19,-155.193,53.4628,0
2,1,-24.2487,-3.2724,-271.674,42191.7,4406.01,-1244.11,166.218,43.6971,0,43.7512,4.43451,-403.002,58135.1,-2465.21,4088.75,-156.117,55.7451,0
2,2,-25.1642,-2.05169,-270.453,42191.7,5260.5,-1244.11,169.451,42.9961,0,43.446,4.73969,-406.054,59966.1,-2343.14,3814.09,-155.771,52.3199,0
2,3,-22.7228,-2.96722,-270.453,42191.7,5138.43,-1152.56,168.999,42.9961,0,44.9719,3.51899,-405.444,59783,-2343.14,3997.19,-155.779,52.5491,0
2,4,-24.5538,-4.4931,-268.622,42008.6,5138.43,-1335.66,169.129,42.6143,0,43.7512,5.65522,-405.444,58684.4,-2587.28,4088.75,-156.381,55.2589,0
2,5,-23.3331,-5.40863,-268.011,42374.8,4894.29,-1335.66,168.261,40.8918,0,43.1409,4.12934,-404.833,58501.3,-2465.21,3997.19,-156.089,55.4929,0
2,6,-22.7228,-1.74652,-269.843,42008.6,5504.64,-1518.77,170.399,43.3218,0,42.2253,6.57074,-406.054,58867.5,-2465.21,3905.64,-156.071,55.0255,0
2,7,-24.2487,-4.79828,-266.18,42191.7,4650.15,-1518.77,167.47,40.4921,0,44.0564,4.12934,-404.833,59050.6,-2709.35,3997.19,-156.693,54.136,0
2,8,-24.5538,-5.10345,-266.791,41459.3,5138.43,-1335.66,169.26,43.6,0,42.5305,4.73969,-405.444,58684.4,-2465.21,3997.19,-156.08,55.2589,0
2,9,-23.6383,-4.18792,-276.556,41825.5,4283.94,-1427.22,165.49,47.7632,0,42.5305,4.73969,-406.054,58684.4,-2953.49,3997.19,-157.274,55.4764,0
