Devices
1000
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
4,2,-23.3331,-17.3105,-260.077,43656.6,12340.6,-2800.51,197.45,31.1398,0,28.1873,-13.2657,-259.57,36711.7,-1976.93,1525.27,-157.616,58.567,0
4,3,-25.4694,-19.1415,-260.077,43107.2,11974.4,-2525.85,196.042,33.252,0,28.1873,-12.6553,-257.739,37810.4,-1976.93,1708.38,-157.67,53.2996,0
4,4,-24.5538,-17.0053,-249.701,43473.4,12096.4,-2983.61,198.444,24.8979,0,26.3562,-11.4346,-254.687,38725.9,-1976.93,1342.16,-157.762,47.9471,0
4,5,-24.5538,-18.226,-258.856,43839.7,11730.2,-3075.17,195.316,29.6409,0,28.1873,-12.045,-254.687,36528.6,-1854.86,1433.72,-157.283,56.5744,0
4,6,-22.7228,-19.1415,-258.856,44389,12462.6,-3258.27,198.145,27.5188,0,27.8821,-10.5191,-254.687,35979.3,-1854.86,1708.38,-157.283,58.7312,0
4,7,-23.028,-17.9208,-257.635,43839.7,12584.7,-3258.27,198.847,28.8384,0,27.5769,-12.9605,-249.804,36711.7,-1976.93,1616.82,-157.914,53.0379,0
4,8,-25.4694,-20.0571,-258.856,44389,11974.4,-3258.27,196.259,27.5188,0,27.5769,-11.1295,-247.973,37077.9,-1732.79,1250.61,-156.988,50.4759,0
4,9,-26.0797,-22.1933,-259.467,44205.9,12218.5,-3624.48,197.091,28.6279,0,27.2717,-12.6553,-248.583,37444.2,-2099,1708.38,-158.444,49.3698,0
5,0,-25.1642,-22.1933,-260.687,44755.2,11974.4,-3532.93,195.934,27.3185,0,28.1873,-12.9605,-247.363,36345.5,-1976.93,1708.38,-157.992,53.0679,0
5,1,-28.2159,-18.226,-250.311,43656.6,11241.9,-3624.48,194.912,24.5909,0,26.3562,-9.90875,-246.142,34880.7,-1976.93,1433.72,-158.032,58.2904,0
5,2,-25.1642,-20.9726,-257.635,44389,12340.6,-3716.03,197.899,26.7063,0,27.5769,-12.045,-242.48,36162.4,-1854.86,1616.82,-157.65,50.8642,0
5,3,-26.6901,-23.1088,-255.804,44022.8,11974.4,-3990.69,196.811,26.9046,0,26.9665,-10.5191,-243.701,35796.2,-1854.86,1342.16,-157.611,53.114,0
5,4,-27.3004,-23.1088,-255.804,44205.9,12828.9,-3899.14,200.151,26.1888,0,26.6614,-12.3502,-240.649,33782,-1732.79,1433.72,-157.2,59.621,0
5,5,-27.9108,-24.6347,-257.025,43839.7,11730.2,-3807.59,195.638,28.4344,0,26.051,-9.90875,-236.987,34331.4,-1732.79,1433.72,-157.312,55.1338,0
5,6,-26.3849,-24.0244,-256.415,44389,11974.4,-3899.14,196.699,25.8861,0,25.7458,-11.1295,-239.428,34331.4,-1610.72,1433.72,-156.727,56.611,0
5,7,-26.9952,-23.7192,-256.415,44022.8,11974.4,-3990.69,196.699,27.3143,0,25.1355,-10.5191,-235.156,33965.1,-1610.72,1525.27,-156.85,55.5631,0
5,8,-26.3849,-25.5502,-253.363,43839.7,11852.3,-3807.59,196.78,25.969,0,25.1355,-11.4346,-234.545,34148.3,-1976.93,1616.82,-158.429,54.4066,0
5,9,-26.6901,-25.5502,-255.194,43656.6,11974.4,-4173.8,196.923,27.928,0,25.1355,-10.5191,-236.987,33415.8,-1610.72,1525.27,-156.797,58.997,0
6,0,-28.5211,-26.4658,-249.701,43473.4,11852.3,-4082.25,197.466,24.8979,0,23.9148,-12.045,-230.273,32500.3,-1610.72,1616.82,-156.995,58.8617,0
6,1,-25.7745,-26.4658,-250.922,43656.6,12096.4,-3990.69,198.208,25.0152,0,22.9993,-10.8243,-232.104,33598.9,-1610.72,1250.61,-156.94,55.2418,0
6,2,-27.6056,-26.1606,-252.142,43290.3,11486.1,-4448.46,195.554,27.3099,0,23.9148,-11.1295,-232.104,34514.5,-1854.86,1525.27,-157.992,51.2973,0
6,3,-26.6901,-27.0761,-250.311,43290.3,11364,-4265.35,195.4,26.054,0,25.4407,-10.8243,-230.883,33232.7,-1854.86,1342.16,-158.034,56.0626,0
6,4,-28.5211,-27.3813,-247.26,43290.3,11241.9,-4448.46,195.466,23.9194,0,24.5251,-9.60357,-230.273,33415.8,-2099,1250.61,-159.115,54.8859,0
6,5,-25.7745,-29.5175,-246.039,42924.1,11486.1,-4356.9,196.684,24.5392,0,22.6941,-10.2139,-229.662,34331.4,-1732.79,1250.61,-157.545,50.5138,0
6,6,-26.9952,-28.9072,-244.818,43107.2,11364,-4631.56,196.418,22.9214,0,21.4734,-9.2984,-229.052,32866.5,-1976.93,1067.51,-158.631,56.5107,0
6,7,-26.0797,-28.2968,-249.091,42924.1,10997.8,-4540.01,194.152,26.6766,0,24.22,-9.2984,-229.052,33782,-1976.93,1342.16,-158.631,52.5137,0
6,8,-28.5211,-29.2123,-245.428,42741,11241.9,-4265.35,195.805,24.8514,0,23.3044,-8.38287,-226.611,33232.7,-1854.86,1159.06,-158.185,53.3488,0
6,9,-26.3849,-27.0761,-245.428,42374.8,11486.1,-4448.46,196.8,26.3435,0,22.9993,-8.68805,-227.221,32866.5,-2099,1067.51,-159.238,55.3545,0
7,0,-27.9108,-27.9916,-241.156,42741,11119.9,-4723.11,196.111,21.7661,0,22.3889,-8.68805,-227.221,33049.6,-2099,975.953,-159.238,54.5486,0
7,1,-29.7418,-28.602,-242.987,42191.7,11119.9,-4814.67,195.763,25.3623,0,22.3889,-7.46734,-227.221,33232.7,-1976.93,1067.51,-158.7,53.7428,0
7,2,-28.5211,-27.6865,-236.884,42557.9,10753.7,-4997.77,195.396,19.3424,0,21.4734,-6.24664,-226,33232.7,-1854.86,1067.51,-158.207,52.9528,0
7,3,-26.3849,-28.2968,-238.715,42374.8,10997.8,-4814.67,196.071,21.4875,0,22.0837,-6.24664,-229.662,32866.5,-2343.14,1067.51,-160.203,56.8921,0
7,4,-29.7418,-26.1606,-235.052,41825.5,10875.7,-4723.11,196.269,21.0589,0,20.863,-6.55182,-228.442,34148.3,-2465.21,701.295,-160.791,50.5166,0
7,5,-29.1315,-26.7709,-236.273,42557.9,10753.7,-4906.22,195.514,18.8783,0,20.5579,-6.24664,-230.273,34148.3,-2099,884.4,-159.115,51.7052,0
7,6,-31.5729,-26.4658,-235.663,42008.6,10997.8,-4814.67,196.668,20.7428,0,19.9475,-4.41558,-230.273,33598.9,-2221.07,884.4,-159.645,54.0907,0
7,7,-31.5729,-27.0761,-240.546,42008.6,10997.8,-4906.22,195.72,24.3612,0,21.7786,-6.24664,-230.883,33782,-2343.14,884.4,-160.149,53.6834,0
7,8,-31.2677,-28.2968,-237.494,42741,10997.8,-5089.33,196.308,19.0332,0,19.9475,-3.80523,-230.883,33598.9,-2465.21,884.4,-160.677,54.4765,0
7,9,-30.6573,-25.8554,-244.818,41825.5,10875.7,-4997.77,194.424,28.1568,0,19.032,-3.80523,-232.104,33782,-2587.28,792.848,-161.147,54.4529,0
8,0,-28.2159,-25.8554,-235.663,42008.6,10387.5,-4997.77,194.078,20.7428,0,19.3372,-3.19488,-232.104,33782,-2587.28,701.295,-161.147,54.4529,0
